1,8,Salon Prasowy Jra,Ul. Rowska 3,250,17000
2,10,Salon Prasowy Bra,Ul. Wowska 44,150,4000
3,2,Salon Prasowy Era,Ul. Vowska 49,250,19000
4,8,Salon Prasowy Nra,Ul. Aowska 74,200,16000
5,4,Salon Prasowy Lra,Ul. Wowska 16,150,15000
6,3,Salon Prasowy Vra,Ul. Uowska 31,150,14000
7,4,Salon Prasowy Vra,Ul. Sowska 52,350,15000
8,2,Salon Prasowy Qra,Ul. Fowska 53,150,17000
9,4,Salon Prasowy Hra,Ul. Lowska 24,200,6000
10,6,Salon Prasowy Sra,Ul. Fowska 90,350,15000
11,10,Salon Prasowy Kra,Ul. Mowska 73,250,17000
12,5,Salon Prasowy Sra,Ul. Vowska 64,250,10000
13,9,Salon Prasowy Xra,Ul. Bowska 64,300,17000
14,9,Salon Prasowy Qra,Ul. Dowska 34,200,18000
15,8,Salon Prasowy Gra,Ul. Uowska 97,350,8000
16,3,Salon Prasowy Vra,Ul. Rowska 43,200,8000
17,1,Salon Prasowy Mra,Ul. Wowska 62,300,18000
18,5,Salon Prasowy Xra,Ul. Yowska 68,300,4000
19,3,Salon Prasowy Ura,Ul. Gowska 86,150,6000
20,7,Salon Prasowy Dra,Ul. Eowska 28,200,9000
21,6,Salon Prasowy Ura,Ul. Oowska 32,200,14000
22,2,Salon Prasowy Nra,Ul. Vowska 61,300,7000
23,8,Salon Prasowy Wra,Ul. Mowska 51,200,19000
24,2,Salon Prasowy Ura,Ul. Howska 58,250,19000
25,4,Salon Prasowy Tra,Ul. Uowska 2,250,12000
26,8,Salon Prasowy Wra,Ul. Iowska 46,150,18000
27,9,Salon Prasowy Dra,Ul. Dowska 50,250,9000
28,6,Salon Prasowy Dra,Ul. Powska 92,350,12000
29,5,Salon Prasowy Kra,Ul. Jowska 86,300,11000
30,4,Salon Prasowy Vra,Ul. Jowska 64,350,14000
31,9,Salon Prasowy Hra,Ul. Dowska 31,200,7000
32,4,Salon Prasowy Fra,Ul. Fowska 70,350,16000
33,4,Salon Prasowy Bra,Ul. Yowska 3,150,12000
34,8,Salon Prasowy Xra,Ul. Dowska 46,200,9000
35,6,Salon Prasowy Mra,Ul. Cowska 6,150,17000
36,7,Salon Prasowy Qra,Ul. Uowska 11,150,16000
37,6,Salon Prasowy Yra,Ul. Dowska 6,250,18000
38,8,Salon Prasowy Fra,Ul. Aowska 30,350,5000
