1,5,1,1,13,1312,36,
2,1,1,2,13,46,44,
3,2,1,3,13,1332,23,
4,8,1,4,13,84,34,
5,17,1,5,13,1912,21,
6,15,1,6,13,647,40,
7,13,1,7,13,464,20,
8,4,1,8,13,409,17,
9,19,1,9,13,439,21,
10,1,1,10,13,1450,19,
11,20,1,11,13,1774,13,
12,12,1,12,13,1426,13,
13,20,1,13,13,1722,14,
14,11,1,14,13,239,35,
15,20,1,15,13,313,42,
16,14,1,16,13,724,29,
17,8,1,17,13,1785,17,
18,9,1,18,13,759,9,
19,17,1,19,13,1755,33,
20,19,1,20,13,737,18,
21,2,1,21,13,1329,35,
22,8,1,22,13,1053,11,
23,10,1,23,13,1085,43,
24,12,1,24,13,942,23,
25,10,1,25,13,692,13,
26,2,1,26,13,1278,30,
27,10,1,27,13,669,42,
28,9,1,28,13,403,30,
29,9,1,29,13,318,40,
30,10,1,30,13,1830,9,
31,18,1,31,13,1441,40,
32,18,1,32,13,1540,29,
33,18,1,33,13,1130,29,
34,16,1,34,13,1788,42,
35,2,1,35,13,1627,19,
36,13,1,36,13,863,40,
37,14,1,37,13,821,29,
38,20,1,38,13,672,20,
39,13,1,39,13,30,31,
40,12,1,40,13,1991,34,
41,17,1,41,13,1376,31,
42,9,1,42,13,722,32,
43,3,1,43,13,864,27,
44,11,1,44,13,239,11,
45,6,1,45,13,636,14,
46,20,1,46,13,102,44,
47,18,1,47,13,256,16,
48,13,1,48,13,1642,18,
49,18,1,49,13,1026,33,
50,1,1,50,13,231,9,
51,13,1,51,13,1563,43,
52,17,1,52,13,913,31,
53,12,1,53,13,1361,16,
54,18,1,54,13,728,40,
55,12,1,55,13,377,22,
56,11,1,56,13,454,26,
57,8,1,57,13,1163,34,
58,14,1,58,13,242,24,
59,13,1,59,13,846,16,
60,15,1,60,13,1048,36,
61,12,1,61,13,1074,16,
62,4,1,62,13,794,10,
63,4,1,63,13,1854,28,
64,11,1,64,13,375,34,
65,14,1,65,13,496,35,
66,15,1,66,13,1634,13,
