1,13,1,1,12,88,25,
2,4,1,2,21,953,30,
3,1,1,3,14,1349,31,
4,2,1,4,33,1073,41,
5,7,1,5,15,249,27,
6,9,1,6,10,248,44,
7,12,1,7,1,310,12,
8,16,1,8,48,32,30,
9,11,1,9,22,1502,36,
10,3,1,10,50,1521,44,
11,11,1,11,10,1724,13,
12,10,1,12,28,1332,21,
13,20,1,13,21,667,38,
14,4,1,14,11,297,14,
15,18,1,15,18,1644,28,
16,14,1,16,1,1634,15,
17,5,1,17,2,1956,37,
18,1,1,18,11,454,44,
19,19,1,19,36,908,44,
20,20,1,20,35,735,33,
21,16,1,21,35,991,30,
22,8,1,22,17,1787,31,
23,5,1,23,1,544,19,
24,2,1,24,17,815,16,
25,13,1,25,3,978,43,
26,4,1,26,39,1103,23,
27,3,1,27,13,93,13,
28,20,1,28,6,311,10,
29,11,1,29,41,416,12,
30,12,1,30,26,854,26,
31,5,1,31,24,1017,33,
32,16,1,32,12,542,34,
33,5,1,33,43,351,18,
34,15,1,34,41,1925,24,
35,5,1,35,1,105,34,
36,2,1,36,30,1734,19,
37,2,1,37,27,84,15,
38,11,1,38,1,1041,43,
39,14,1,39,43,1328,22,
40,4,1,40,50,423,32,
41,15,1,41,11,1651,11,
42,10,1,42,43,1551,35,
43,3,1,43,41,949,10,
44,6,1,44,36,548,12,
45,15,1,45,16,467,23,
46,15,1,46,46,69,34,
47,9,1,47,39,1533,39,
48,6,1,48,36,243,14,
49,5,1,49,17,1944,20,
50,9,1,50,23,1254,21,
51,11,1,51,49,428,30,
52,4,1,52,18,1241,41,
53,7,1,53,2,294,44,
54,15,1,54,17,761,28,
55,16,1,55,10,1479,39,
56,2,1,56,26,1658,37,
57,2,1,57,21,1619,36,
58,8,1,58,47,946,25,
59,12,1,59,23,1668,24,
60,13,1,60,44,1404,27,
61,2,1,61,47,1317,39,
62,15,1,62,22,118,16,
63,8,1,63,39,1735,10,
64,1,1,64,28,1731,16,
65,9,1,65,22,559,16,
66,11,1,66,32,714,15,
67,2,1,67,50,517,14,
68,7,1,68,16,1573,41,
69,13,1,69,2,1543,27,
70,7,1,70,20,547,10,
71,18,1,71,34,196,13,
72,9,1,72,6,167,39,
73,8,1,73,4,434,34,
74,18,1,74,18,519,11,
75,1,1,75,2,1080,16,
76,7,1,76,38,157,15,
77,2,1,77,2,1540,25,
78,7,1,78,46,329,15,
79,4,1,79,17,1015,39,
80,7,1,80,7,845,15,
81,14,1,81,22,1636,13,
82,13,1,82,11,960,38,
83,13,1,83,40,1557,33,
84,10,1,84,37,204,34,
85,14,1,85,21,598,20,
86,3,1,86,32,1152,18,
87,3,1,87,49,1831,41,
88,4,1,88,50,1518,14,
89,15,1,89,34,1422,38,
90,4,1,90,40,814,11,
91,2,1,91,10,867,41,
92,6,1,92,8,169,41,
93,18,1,93,1,98,12,
94,16,1,94,34,1343,43,
95,12,1,95,12,1613,41,
96,14,1,96,41,577,43,
97,7,1,97,16,232,19,
98,15,1,98,34,264,11,
99,20,1,99,26,187,36,
100,9,1,100,15,1917,32,
101,13,1,101,38,1379,37,
102,20,1,102,42,174,11,
103,18,1,103,5,817,41,
104,3,1,104,38,591,27,
105,18,1,105,33,601,34,
106,19,1,106,13,1831,37,
107,19,1,107,9,788,14,
108,5,1,108,10,1951,28,
109,6,1,109,13,1103,44,
110,4,1,110,15,1254,21,
111,20,1,111,34,1690,21,
112,9,1,112,19,768,12,
113,13,1,113,35,1785,23,
114,10,1,114,13,514,9,
115,15,1,115,11,1895,40,
116,4,1,116,14,184,44,
117,11,1,117,28,654,36,
118,17,1,118,2,1135,37,
119,20,1,119,19,1504,11,
120,10,1,120,13,955,9,
121,2,1,121,26,834,20,
122,5,1,122,7,882,39,
123,12,1,123,10,1291,30,
124,1,1,124,2,399,40,
125,11,1,125,39,745,9,
