1,2004-06-12,2014-01-06,3000,
2,2003-01-10,2013-10-10,4000,
3,2000-08-15,2008-07-11,4000,
4,2004-12-13,2006-06-11,4000,
5,2003-07-15,2015-06-28,4000,
6,2001-01-10,2008-07-25,3000,
7,2003-03-05,2006-05-26,2000,
8,2004-12-12,2009-08-13,4000,
9,2000-04-25,2013-05-28,4000,
10,2001-08-05,2006-06-27,3000,
11,2003-12-05,2015-02-18,2000,
12,2003-08-08,2013-04-22,2000,
13,2001-09-24,,2000,
14,2003-03-02,,3000,
15,2002-04-06,,3000,
16,2001-02-08,,3000,
17,2002-06-19,,2000,
18,2003-08-02,,4000,
19,2002-10-26,,3000,
20,2003-04-22,,2000,
21,2001-03-21,,3000,
22,2000-08-03,,3000,
23,2002-06-02,,2000,
24,2003-10-18,,4000,
25,2002-07-14,,4000,
26,2004-03-09,,3000,
27,2001-05-09,,3000,
28,2002-07-15,,4000,
29,2004-01-28,,3000,
30,2002-10-27,,4000,
31,2000-07-06,,3000,
32,2002-06-01,,4000,
33,2001-05-08,,2000,
34,2000-11-04,,4000,
35,2004-06-01,,2000,
36,2004-05-22,,2000,
37,2003-12-10,,2000,
38,2002-10-18,,4000,
39,2004-02-11,,3000,
40,2003-09-05,,4000,
41,2004-07-11,,3000,
42,2001-12-25,,3000,
43,2002-02-12,,3000,
44,2000-12-10,,4000,
45,2001-04-14,,3000,
46,2003-03-04,,4000,
47,2000-04-15,,3000,
48,2003-12-14,,4000,
49,2003-02-18,,4000,
50,2003-12-02,,4000,
