1,4,Salon Prasowy Fra,Ul. Oowska 60,150,15000
2,8,Salon Prasowy Qra,Ul. Uowska 42,200,12000
3,4,Salon Prasowy Vra,Ul. Aowska 70,300,9000
4,2,Salon Prasowy Ara,Ul. Howska 80,300,4000
5,5,Salon Prasowy Wra,Ul. Aowska 94,150,17000
6,7,Salon Prasowy Hra,Ul. Cowska 32,250,12000
7,8,Salon Prasowy Tra,Ul. Dowska 95,300,15000
8,10,Salon Prasowy Hra,Ul. Eowska 92,350,12000
9,2,Salon Prasowy Lra,Ul. Gowska 74,250,10000
10,6,Salon Prasowy Ora,Ul. Uowska 55,350,15000
11,4,Salon Prasowy Bra,Ul. Towska 59,300,18000
12,1,Salon Prasowy Pra,Ul. Powska 89,350,17000
13,4,Salon Prasowy Ira,Ul. Mowska 85,350,14000
14,9,Salon Prasowy Ora,Ul. Aowska 19,350,12000
15,3,Salon Prasowy Hra,Ul. Howska 40,250,8000
16,8,Salon Prasowy Era,Ul. Towska 98,150,15000
17,4,Salon Prasowy Cra,Ul. Xowska 66,300,6000
18,1,Salon Prasowy Mra,Ul. Oowska 38,250,17000
19,9,Salon Prasowy Lra,Ul. Howska 32,350,10000
20,2,Salon Prasowy Cra,Ul. Nowska 34,300,5000
21,7,Salon Prasowy Lra,Ul. Rowska 20,250,12000
22,1,Salon Prasowy Rra,Ul. Eowska 96,250,14000
23,3,Salon Prasowy Jra,Ul. Rowska 76,250,7000
24,1,Salon Prasowy Ara,Ul. Aowska 16,300,6000
25,1,Salon Prasowy Nra,Ul. Sowska 61,150,18000
26,5,Salon Prasowy Qra,Ul. Sowska 40,150,10000
27,7,Salon Prasowy Ira,Ul. Rowska 30,200,16000
28,2,Salon Prasowy Hra,Ul. Jowska 41,200,8000
29,2,Salon Prasowy Vra,Ul. Towska 7,150,10000
30,6,Salon Prasowy Ara,Ul. Uowska 10,250,11000
